Number,Level,Vocabulary,Wordclass,Guide
1,4급,-가02,접사,전문가
2,4급,가능성,명사,가능성이 높다
3,4급,가라앉다,동사,바닥에 가라앉다
4,4급,-가량,접사,한 시간가량
5,4급,가로등,명사,가로등이 켜지다
6,4급,가로막다,동사,길을 가로막다
7,4급,가르다,동사,칼로 가르다
8,4급,가리다03,동사,잘잘못을 가리다
9,4급,가만01,부사,가만 놔두다
10,4급,가만있다,동사,잠자코 가만있다
11,4급,가만히,부사,가만히 두다
12,4급,가뭄,명사,가뭄이 들다
13,4급,가사03,명사,노래 가사
14,4급,가장02,명사,집안의 가장
15,4급,가정02,명사,가정을 세우다
16,4급,가정주부,명사,가정주부로 살다
17,4급,가져다주다,동사,물건을 가져다주다
18,4급,가지01,명사,가지를 꺾다
19,4급,가짜,명사,가짜 보석
20,4급,가치,명사,가치가 높다
21,4급,가치관,명사,가치관이 바뀌다
22,4급,가톨릭,명사,가톨릭을 믿다
23,4급,각국,명사,아시아 각국
24,4급,각오,명사,각오를 다지다
25,4급,각종,명사,각종 과일
26,4급,-간,접사,이틀간
27,4급,간03,명사,간 이식
28,4급,간04,의존명사,서울과 부산 간
29,4급,간격,명사,간격을 넓히다
30,4급,간섭,명사,간섭을 받다
31,4급,간신히,부사,간신히 견디다
32,4급,간절하다,형용사,간절한 기도
33,4급,간접적01∙ 간접적02,관형사∙ 명사,간접적 영향
34,4급,간지럽다,형용사,눈이 간지럽다
35,4급,간편하다,형용사,사용이 간편하다
36,4급,간혹02/간혹01,부사/명사,간혹 생기다
37,4급,갇히다,동사,감옥에 갇히다
38,4급,갈등,명사,갈등이 심하다
39,4급,갈라지다,동사,벽이 갈라지다
40,4급,갈수록,부사,갈수록 늘어나다
41,4급,감상문,명사,독서 감상문
42,4급,감소,명사,인구 감소
43,4급,감시,명사,감시를 당하다
44,4급,감싸다,동사,얼굴을 감싸다
45,4급,감옥,명사,감옥에 가두다
46,4급,감추다,동사,모습을 감추다
47,4급,감히,부사,감히 대들다
48,4급,갑작스럽다,형용사,갑작스러운 일
49,4급,값싸다,형용사,값싼 물건
50,4급,강도03,명사,은행 강도
51,4급,강수량,명사,강수량이 많다
52,4급,강요,명사,강요를 받다
53,4급,강의,명사,강의를 듣다
54,4급,강의실,명사,대형 강의실
55,4급,강제,명사,강제로 시키다
56,4급,강조,명사,강조 사항
57,4급,갖가지,명사,갖가지 모양
58,4급,갖추다,동사,시설을 갖추다
59,4급,개구리,명사,개구리를 잡다
60,4급,개념,명사,개념을 이해하다
61,4급,개다03,동사,옷을 개다
62,4급,개미,명사,벌레
63,4급,개발,명사,재능 개발
64,4급,개방,명사,개방 시간
65,4급,개별,명사,개별 행동
66,4급,개선01,명사,제도 개선
67,4급,개성,명사,개성이 강하다
68,4급,개최,명사,공동 개최
69,4급,개혁,명사,경제 개혁
70,4급,-객,접사,등산객
71,4급,객관적01∙ 객관적02,관형사∙ 명사,객관적 증거
72,4급,거대,명사,거대 규모
73,4급,거두다,동사,빨래를 거두다
74,4급,거들다,동사,일을 거들다
75,4급,거래,명사,거래가 이루어지다
76,4급,거래처,명사,거래처 직원
77,4급,거미,명사,벌레
78,4급,거북이,명사,동물
79,4급,거지,명사,거지가 구걸하다
80,4급,거짓,명사,거짓으로 꾸미다
81,4급,거치다,동사,도시를 거치다
82,4급,거칠다,형용사,피부가 거칠다
83,4급,걱정스럽다,형용사,자식이 걱정스럽다
84,4급,건너,명사,길 건너
85,4급,건네다,동사,돈을 건네다
86,4급,건네주다,동사,돈을 건네주다
87,4급,건드리다,동사,물건을 건드리다
88,4급,건설,명사,아파트 건설
89,4급,건전지,명사,건전지를 갈다
90,4급,건지다,동사,그물을 건지다
91,4급,건축,명사,건축 공사
92,4급,걷다03,동사,소매를 걷다
93,4급,걷다04,동사,빨래를 걷다
94,4급,걸치다,동사,언덕에 걸치다
95,4급,검사01,명사,검사가 되다
96,4급,겁나다,동사,말하기가 겁나다
97,4급,겉모습,명사,겉모습만 보다
98,4급,게01,명사,게를 먹다
99,4급,게다가01,부사,
100,4급,겨울철,명사,겨울철 준비
101,4급,격려,명사,격려를 받다
102,4급,겪다,동사,고통을 겪다
103,4급,견디다,동사,고통을 견디다
104,4급,견학,명사,박물관 견학
105,4급,견해,명사,견해 차이
106,4급,결근,명사,회사 결근
107,4급,결론,명사,결론을 내리다
108,4급,결승,명사,결승 경기
109,4급,결코,부사,결코 어렵지 않다
110,4급,결합,명사,결합 관계
111,4급,결혼식장,명사,야외 결혼식장
112,4급,겸손,명사,겸손한 태도
113,4급,겹치다,동사,불행이 겹치다
114,4급,경계01,명사,경계 지역
115,4급,경고,명사,경고를 주다
116,4급,경기01,명사,경기가 회복되다
117,4급,경력,명사,경력을 쌓다
118,4급,경영,명사,회사 경영
119,4급,경쟁,명사,경쟁 상대
120,4급,경쟁력,명사,경쟁력을 키우다
121,4급,경제력,명사,경제력 차이
122,4급,경향,명사,새로운 경향
123,4급,계기01,명사,사건의 계기
124,4급,계산기,명사,계산기로 계산하다
125,4급,계산대,명사,계산대에서 계산하다
126,4급,계층,명사,상류 계층
127,4급,고국,명사,고국으로 돌아가다
128,4급,고급,명사,고급 시계
129,4급,고급스럽다,형용사,자동차가 고급스럽다
130,4급,고대01,명사,고대와 현대
131,4급,고독,명사,고독을 느끼다
132,4급,고등,명사,고등 교육
133,4급,고등어,명사,고등어구이
134,4급,고래01,명사,고래를 잡다
135,4급,고려01,명사,고려 사항
136,4급,고마워하다,동사,부모님께 고마워하다
137,4급,고무01,명사,고무로 만들다
138,4급,고소하다 01,형용사,맛이 고소하다
139,4급,고요,명사,고요한 밤
140,4급,고유,명사,고유 음식
141,4급,고장01,명사,고장 특산물
142,4급,고전01,명사,고전 소설
143,4급,고정,명사,고정 수입
144,4급,고집,명사,고집을 부리다
145,4급,고층,명사,고층 빌딩
146,4급,고통,명사,고통을 견디다
147,4급,고통스럽다,형용사,고통스러운 표정
148,4급,곡01,명사,노래 한 곡
149,4급,곡식,명사,곡식을 거두다
150,4급,곧다,형용사,다리가 곧다
151,4급,곧바로,부사,곧바로 처리하다
152,4급,곧잘,부사,곧잘 하다
153,4급,골04,명사,골을 넣다
154,4급,골다,동사,코를 골다
155,4급,공감,명사,공감을 얻다
156,4급,공개,명사,공개 수배
157,4급,공격,명사,공격을 받다
158,4급,공급,명사,공급을 받다
159,4급,공기03,명사,공기에 담다
160,4급,공동체,명사,공동체에 속하다
161,4급,공손하다,형용사,공손한 태도
162,4급,공업,명사,공업이 발달하다
163,4급,공적01∙ 공 적02,관형사∙ 명사,공적 제도
164,4급,공지01,명사,공지를 돌리다
165,4급,공해01,명사,소음 공해
166,4급,과소비,명사,과소비를 줄이다
167,4급,과속,명사,과속 운전
168,4급,과연,부사,과연 대단하다
169,4급,과외,명사,과외 업무
170,4급,과제,명사,과제를 해결하다
171,4급,과학적01∙ 과학적02,관형사∙ 명사,과학적 방법
172,4급,-관02,접사,도서관
173,4급,-관03,접사,가치관
174,4급,관계자,명사,관계자를 만나다
175,4급,관심사,명사,관심사가 다르다
176,4급,관점,명사,관점이 다르다
177,4급,괜히,부사,괜히 이야기하다
178,4급,괴로움,명사,괴로움을 견디다
179,4급,괴로워하다,동사,통증으로 괴로워하다
180,4급,괴롭다,형용사,마음이 괴롭다
181,4급,괴롭히다,동사,동생을 괴롭히다
182,4급,굉장하다,형용사,굉장한 발전
183,4급,교내,명사,교내 방송
184,4급,교대01,명사,교대 근무
185,4급,교류,명사,문화 교류
186,4급,교복,명사,교복을 입다
187,4급,교양,명사,교양을 쌓다
188,4급,교육비,명사,교육비로 지출하다
189,4급,교육자,명사,교육자를 배출하다
190,4급,교장,명사,초등학교 교장
191,4급,교재,명사,학습 교재
192,4급,교체,명사,건전지 교체
193,4급,교훈02,명사,교훈을 얻다
194,4급,구르다01,동사,공이 구르다
195,4급,구매,명사,상품 구매
196,4급,구별,명사,남녀 구별
197,4급,구부리다,동사,허리를 구부리다
198,4급,구분,명사,구분이 뚜렷하다
199,4급,구석,명사,한쪽 구석
200,4급,구성,명사,구성 인원
201,4급,구세대,명사,구세대와 신세대
202,4급,구속01,명사,구속이 심하다
203,4급,구조01,명사,구조를 요청하다
204,4급,구하다02,동사,목숨을 구하다
205,4급,국경일,명사,국경일로 정하다
206,4급,국산,명사,국산을 애용하다
207,4급,국외,명사,국외와 국내
208,4급,국제결혼,명사,국제결혼 부부
209,4급,국제선,명사,국제선으로 갈아타다
210,4급,국제화,명사,국제화 시대
211,4급,국화02,명사,국화가 피다
212,4급,국회,명사,대한민국 국회
213,4급,군04,명사,행정 구역
214,4급,군데,의존명사,여러 군데
215,4급,군사01,명사,군사 조직
216,4급,굳다01,동사,땅이 굳다
217,4급,굳어지다,동사,땅이 굳어지다
218,4급,굳이,부사,굳이 말하다
219,4급,굴02,명사,굴을 파다
220,4급,굽히다,동사,허리를 굽히다
221,4급,-권03,접사,투표권
222,4급,권력,명사,권력을 강화하다
223,4급,권리,명사,권리를 누리다
224,4급,권위,명사,권위를 세우다
225,4급,권유,명사,간곡한 권유
226,4급,귀가,명사,귀가 시간
227,4급,귀국,명사,귀국과 출국
228,4급,귀신,명사,귀신이 되다
229,4급,귀중하다,형용사,귀중한 보석
230,4급,귀하다,형용사,귀한 신분
231,4급,규모,명사,규모가 크다
232,4급,규정,명사,규정을 지키다
233,4급,균형,명사,균형을 잡다
234,4급,그나마,부사,그나마 낫다
235,4급,그네01,명사,그네를 타다
236,4급,그늘,명사,그늘이 지다
237,4급,그다지,부사,그다지 춥지 않다
238,4급,그대,대명사,
239,4급,그래프,명사,그래프로 나타내다
240,4급,그러게02,감탄사,
241,4급,그럭저럭,부사,그럭저럭 견디다
242,4급,그런대로,부사,그런대로 괜찮다
243,4급,그렇지01,감탄사,
244,4급,그리01,부사,그리 가다
245,4급,그리움,명사,그리움을 느끼다
246,4급,그림자,명사,그림자가 지다
247,4급,그림책,명사,그림책을 보다
248,4급,그만큼01/ 그만큼02,부사/명사,그만큼 남다
249,4급,그야말로,부사,그야말로 최고다
250,4급,그제야,부사,그제야 끝나다
251,4급,그토록,부사,그토록 아름답다
252,4급,극복,명사,위기 극복
253,4급,극히,부사,극히 드물다
254,4급,근거,명사,법적 근거
255,4급,근교,명사,서울 근교
256,4급,근대,명사,근대의 사상
257,4급,근래,명사,근래의 소식
258,4급,근로자,명사,근로자를 해고하다
259,4급,근본,명사,근본을 밝히다
260,4급,근본적01∙ 근본적02,관형사∙ 명사,근본적 이유
261,4급,근심,명사,근심이 많다
262,4급,긁다,동사,머리를 긁다
263,4급,금년,명사,금년 여름
264,4급,금융,명사,금융 분야
265,4급,금하다,동사,출입을 금하다
266,4급,급격히,부사,급격히 감소하다
267,4급,급속히,부사,급속히 진행되다
268,4급,급증,명사,인구 급증
269,4급,급히,부사,급히 먹다
270,4급,기념일,명사,기념일을 축하하다
271,4급,기독교,명사,기독교를 믿다
272,4급,기둥,명사,기둥을 세우다
273,4급,기록,명사,기록을 남기다
274,4급,기반,명사,기반을 다지다
275,4급,기본,명사,기본을 익히다
276,4급,기본적01∙ 기본적02,관형사∙ 명사,기본적 권리
277,4급,기부,명사,장학금 기부
278,4급,기술01,명사,기술을 개발하다
279,4급,기업가,명사,기업가가 되다
280,4급,기여,명사,발전에 기여하다
281,4급,기운01,명사,기운이 없다
282,4급,기울다,동사,액자가 기울다
283,4급,기울이다,동사,몸을 기울이다
284,4급,기원02,명사,인류의 기원
285,4급,기적,명사,기적이 일어나다
286,4급,기존,명사,기존 시설
287,4급,기지개,명사,기지개를 켜다
288,4급,기혼,명사,기혼 여성
289,4급,기획,명사,기획 상품
290,4급,기후,명사,기후가 좋다
291,4급,길가,명사,길가에 서다
292,4급,길거리,명사,길거리를 걷다
293,4급,깊이01,명사,강물의 깊이
294,4급,까다롭다,형용사,조건이 까다롭다
295,4급,까닭,명사,까닭을 묻다
296,4급,까먹다,동사,귤을 까먹다
297,4급,깔다,동사,이불을 깔다
298,4급,깔리다,동사,잔디가 깔리다
